career_label,skills
data centre specialist (malaysia),"excel, communication"
"assistant manager, corporates audit (based in hong kong)",communication
cloud engineer,management
senior associate - financial risk management,"python, excel, statistics, communication, management, project management"
customer service representative (cantonese speaker) - support hong kong market,
gaming technician assistant (team ladies),
sales executive,"communication, management"
big data engineer - cloud,"management, project management, aws, azure"
database engineer - cloud,"sql, management, project management, aws, azure"
huawei cloud delivery engineer (cloud migration engineer),"python, java, sql, management, aws, azure"
sales coordinator,excel
telemarketer x10 | basic + comms | work in sg **interview 6-7 nov in kl,excel
[based in sg] high basic + commission + good benefits telemarketing executive,"excel, communication"
research associate/ researcher/ internship,"excel, communication"
accounts associate (accounting firm),communication
eoi- facilities manager_soft service (penang),"excel, management"
division manager,
cloud professional service solution manager,communication
customer service associate (melaka),"excel, communication, management"
customer service associate (ipoh),"excel, communication, management"
manager - assurance (pwc acceleration center kuala lumpur),management
experienced associate hr system support and project coordinator,"excel, communication, management"
assistant kitchen lead,"excel, communication, management"
data governance expert- cloud,"sql, management"
manager - data solution architect (risk services),"python, sql, management, aws, azure"
java developer,"java, sql, excel, communication, aws"
transaction management - associate director / director,"management, project management"
branch sales executive,
claims analyst (own damage),
"senior executive, policy servicing","excel, communication"
claims assessor (motor),communication
claims examiner,communication
manager - deals strategy & operations,"excel, communication, management, project management"
document controller @ klia malaysia,"excel, communication, management"
hr business partner,"communication, management"
planning engineer @ klia malaysia,"excel, management, project management"
"project manager (up to rm 7,000+++ | rewarding career | own car | kl)","excel, communication, management, project management"
centralize admin executive,"excel, communication"
senior manager - tax payroll,"excel, communication, management, aws"
cnc machinist (lathe),
experienced associate - data engineer (delivery excellence)(pwc acceleration...,"python, sql, excel, management, azure"
shipping admin / admin / technician,excel
cnc machinist (milling),
master data manager,"excel, management"
assembly technician,management
staff engineer,"python, java, sql, excel, management, aws, azure"
property agent/ real estate negotiator/ sales consultant (full/ part time),communication
quality technician,communication
manager - risq (business partner cum chief of staff),"communication, management"
"assistant manager, qa/qc","communication, management"
art director,
senior associate - data scientist,management
head of corporate sales - manufacturing (northern),
operation manager (malaysia) - customer care,"excel, communication, management"
regulatory affairs specialist,
manager - transaction services,"excel, data analysis, communication, management"
customer support engineer,management
supervisor,
"senior executive, corporate catering & outlet operation","excel, communication, management"
"assistant finance manager (petaling jaya, selangor)","excel, communication, management, project management"
regulatory affairs specialist,
business performance manager,"excel, data analysis, communication, management"
fresh graduates last call to apply! (24/7 shifts) based at petaling jaya,communication
specialist - rtr,"excel, communication"
"ifrs17 & modelling, assistant manager","statistics, management"
customer service representative,"excel, communication, management"
process engineer (ald) (fresh graduates are encouraged to apply),"excel, communication"
telemarketing executive,"communication, management"
"professional, pre-sales (system, storage & backup)",
tech talent partner (rpo),management
r&d software engineer,"machine learning, deep learning"
sales executive,communication
field support engineer,communication
senior software developer (backend),"java, sql, excel, communication, aws, azure, docker"
robotics coach (part-time),"communication, management"
sr proj mgmt specialist,"excel, communication, management, project management"
"engineer, industrial engineering","communication, management"
test lead(automation and manual),excel
program controls specialist ii,"excel, communication, management, project management"
coffee specialist,management
senior estimator - building automation,excel
"cargo sales manager, turkish cargo","excel, communication, management"
"mission sales director, malaysia","excel, communication, management, aws"
otc analyst,communication
"assistant manager, record to report","communication, management"
it compliance manager,"excel, management, project management"
maintenance executive,"communication, management"
application engineer (full time),
customer service representative,"excel, communication"
software engineer ii,"java, sql, management, aws, docker"
