career_label,skills,experience_years,education_level
e-commerce specialist,"excel, data analysis, management",5,degree
game developer,,5,unknown
human resources specialist,"data analysis, management",5,degree
e-commerce specialist,"data analysis, management",5,degree
e-commerce specialist,"data analysis, management",5,degree
mobile app developer,"java, management",5,degree
ux designer,communication,5,degree
cloud engineer,"python, aws, azure, docker",5,degree
digital marketing specialist,"excel, data analysis",5,degree
ai researcher,"python, deep learning, aws, tensorflow, pytorch",0,unknown
ui engineer,java,5,degree
ar/vr developer,,0,unknown
digital marketing specialist,"excel, data analysis, communication",5,degree
ai researcher,"python, machine learning, deep learning, tensorflow, pytorch",0,doctorate
ui engineer,java,0,master
ai researcher,"python, deep learning, tensorflow, pytorch",0,unknown
mobile app developer,java,5,degree
human resources specialist,management,5,degree
ui engineer,java,5,master
machine learning engineer,"python, java, sql, machine learning, deep learning, tensorflow, pytorch",5,master
e-commerce specialist,"excel, data analysis, management",5,degree
database administrator,"python, sql, statistics, management",0,degree
data engineer,"python, sql, machine learning, management, aws, azure",5,master
digital marketing specialist,"data analysis, management",5,degree
cybersecurity analyst,"excel, communication",8,degree
robotics engineer,python,0,master
business analyst,"machine learning, data analysis, communication, management, project management",5,degree
data analyst,"python, sql, excel, data analysis",5,degree
human resources specialist,"communication, management",8,degree
robotics engineer,"python, machine learning",5,master
cloud engineer,"python, sql, aws, azure",0,degree
cloud architect,"python, java, management, aws, azure, docker",8,degree
data architect,"sql, aws, azure",10,master
qa engineer,"python, java, management, project management",5,degree
data architect,"sql, excel, management, azure",8,degree
ui engineer,java,5,degree
system administrator,management,8,degree
devops engineer,"python, sql, aws, azure, docker",0,degree
game developer,,5,unknown
product manager,"excel, data analysis, communication, management, project management",5,degree
data scientist,"python, sql, machine learning, deep learning, statistics, management, tensorflow, pytorch",5,master
data scientist,"python, sql, machine learning, management, tensorflow",5,master
devops engineer,"python, aws, azure, docker",5,degree
full stack developer,"java, sql, management",5,master
game developer,,0,unknown
ux designer,java,5,degree
ux designer,communication,5,degree
full stack developer,"java, sql, management",5,master
ui engineer,java,5,degree
data engineer,"python, java, sql, machine learning, aws, azure, tensorflow, pytorch",5,master
cloud architect,"python, java, sql, management, aws, docker",8,master
devops engineer,"python, management, aws, azure, docker",0,degree
cloud architect,"communication, aws",5,degree
cybersecurity analyst,python,0,degree
data engineer,"python, java, machine learning, aws, azure, tensorflow",0,master
robotics engineer,"python, excel",3,master
blockchain developer,"python, java, sql, management",5,degree
game developer,,5,degree
business analyst,"data analysis, communication, management",5,degree
robotics engineer,python,5,master
devops engineer,"management, aws, azure, docker",0,degree
ui engineer,java,5,degree
cybersecurity analyst,"excel, communication, management",0,degree
robotics engineer,python,0,master
devops engineer,"python, java, aws, azure, docker",0,master
database administrator,"python, java, sql, management",8,degree
cloud architect,"excel, management, aws, azure, docker",8,degree
database administrator,"python, sql, management, aws, azure",5,degree
software engineer,"python, java, aws, azure, docker",5,master
machine learning engineer,"python, machine learning, data analysis, tensorflow",5,degree
database administrator,sql,8,degree
human resources specialist,"data analysis, communication, management",5,degree
database administrator,"python, java, sql, management",8,degree
database administrator,"python, sql",8,degree
ar/vr developer,java,5,degree
content writer,"excel, communication, management",5,degree
mobile app developer,,5,degree
cloud engineer,"python, management, aws, azure",5,degree
ui engineer,java,5,degree
product manager,"data analysis, communication, management",8,master
content writer,management,5,degree
cloud engineer,"python, aws, azure",5,degree
e-commerce specialist,"excel, data analysis, communication, management",8,unknown
cybersecurity analyst,"excel, communication, management",5,degree
qa engineer,"python, java",5,degree
cloud engineer,"python, aws, azure, docker",5,degree
ai researcher,"python, java, machine learning, deep learning, tensorflow, pytorch",0,unknown
human resources specialist,"data analysis, management",5,degree
robotics engineer,"python, machine learning",0,master
data architect,"python, java, sql, aws, azure",10,degree
ar/vr developer,java,5,unknown
robotics engineer,"python, java, machine learning, management",5,master
qa engineer,"python, java",5,master
mobile app developer,java,3,degree
devops engineer,"python, java, aws, azure, docker",0,degree
business analyst,"excel, data analysis, communication, management, project management",5,degree
cloud engineer,"aws, docker",0,degree
data architect,"python, java, sql, excel, machine learning, aws, azure",8,master
business analyst,"java, sql, excel, data analysis, communication, management",5,master
machine learning engineer,"python, machine learning, deep learning, tensorflow",3,master
ux designer,"communication, management, project management",5,master
full stack developer,"java, sql, management",5,degree
business analyst,"data analysis, communication, management, project management",8,degree
content writer,"excel, communication",8,degree
content writer,"excel, communication, management, project management",5,degree
