course_title,course_organization,course_certificate_type,course_rating,course_difficulty
ISC Systems Security Certified Practitioner (SSCP),ISC,SPECIALIZATION,4.7,Beginner
A Crash Course in Causality:  Inferring Causal Effects from Observational Data,University of Pennsylvania,COURSE,4.7,Intermediate
A Crash Course in Data Science,Johns Hopkins University,COURSE,4.5,Mixed
A Law Student's Toolkit,Yale University,COURSE,4.7,Mixed
A Life of Happiness and Fulfillment,Indian School of Business,COURSE,4.8,Mixed
ADHD: Everyday Strategies for Elementary Students,University at Buffalo,COURSE,4.7,Beginner
AI For Everyone,deeplearning.ai,COURSE,4.8,Beginner
AI For Medical Treatment,deeplearning.ai,COURSE,4.8,Intermediate
AI Foundations for Everyone,IBM,SPECIALIZATION,4.7,Beginner
AI for Medical Diagnosis,deeplearning.ai,COURSE,4.7,Intermediate
AI for Medical Prognosis,deeplearning.ai,COURSE,4.6,Intermediate
AI for Medicine,deeplearning.ai,SPECIALIZATION,4.7,Intermediate
AWS Fundamentals,Amazon Web Services,SPECIALIZATION,4.6,Beginner
AWS Fundamentals: Addressing Security Risk,Amazon Web Services,COURSE,4.3,Beginner
AWS Fundamentals: Building Serverless Applications,Amazon Web Services,COURSE,4.7,Beginner
AWS Fundamentals: Going Cloud-Native,Amazon Web Services,COURSE,4.7,Beginner
AWS Fundamentals: Migrating to the Cloud,Amazon Web Services,COURSE,4.5,Intermediate
Aboriginal Worldviews and Education,University of Toronto,COURSE,4.7,Mixed
Academic English: Writing,"University of California, Irvine",SPECIALIZATION,4.7,Beginner
Accelerated Computer Science Fundamentals,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Intermediate
Access Controls,(ISC)²,COURSE,4.6,Beginner
Accounting Analytics,University of Pennsylvania,COURSE,4.5,Mixed
Accounting for Decision Making,University of Michigan,COURSE,4.8,Intermediate
Achieving Personal and Professional Success,University of Pennsylvania,SPECIALIZATION,4.7,Beginner
Actualización en el manejo del paciente con diabetes mellitus tipo 2,Universidad Nacional Autónoma de México,COURSE,4.8,Mixed
Addiction Treatment: Clinical Skills for Healthcare Providers,Yale University,COURSE,4.8,Beginner
Advanced Business Analytics,University of Colorado Boulder,SPECIALIZATION,4.5,Intermediate
Advanced Data Science with IBM,IBM,SPECIALIZATION,4.4,Advanced
Advanced Machine Learning,National Research University Higher School of Economics,SPECIALIZATION,4.5,Advanced
Advanced Machine Learning with TensorFlow on Google Cloud Platform,Google Cloud,SPECIALIZATION,4.5,Advanced
"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",Erasmus University Rotterdam,COURSE,4.7,Advanced
Advertising and Society,Duke University,COURSE,4.8,Mixed
Age of Cathedrals,Yale University,COURSE,4.7,Beginner
Agile Development,University of Virginia,SPECIALIZATION,4.7,Beginner
Agile Meets Design Thinking,University of Virginia,COURSE,4.7,Beginner
Agile with Atlassian Jira,Atlassian,COURSE,4.7,Beginner
Agile и Scrum в работе над проектами и продуктами,ScrumTrek,COURSE,4.9,Beginner
Algorithmic Toolbox,University of California San Diego,COURSE,4.7,Intermediate
Algorithms,Stanford University,SPECIALIZATION,4.8,Intermediate
Algorithms for Battery Management Systems,University of Colorado System,SPECIALIZATION,4.8,Intermediate
American Contract Law I,Yale University,COURSE,4.9,Beginner
An Introduction to American Law,University of Pennsylvania,COURSE,4.8,Beginner
An Introduction to Consumer Neuroscience & Neuromarketing,Copenhagen Business School,COURSE,4.7,Beginner
An Introduction to Programming the Internet of Things (IOT),"University of California, Irvine",SPECIALIZATION,4.6,Beginner
Analysing: Numeric and digital literacies,Macquarie University,SPECIALIZATION,4.6,Beginner
Anatomy,University of Michigan,SPECIALIZATION,4.8,Beginner
